代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
000783,长江证券,6.97,-1.14,-0.08,-0.14,0.92,0.98,2.55,3.57亿,55.30亿,385.45亿,20.16
603638,艾迪精密,16.50,-1.14,-0.19,0.12,0.27,0.89,2.22,3718.44万,8.38亿,138.33亿,36.97
002274,华昌化工,7.81,-1.14,-0.09,-0.13,1.38,1.07,2.28,1.02亿,9.38亿,73.25亿,10.53
600125,铁龙物流,6.06,-1.14,-0.07,0.17,1.26,1.03,1.79,1.01亿,13.06亿,79.11亿,15.02
600459,贵研铂业,13.84,-1.14,-0.16,-0.14,0.65,0.89,1.64,6828.09万,7.54亿,104.33亿,17.73
300763,锦浪科技,64.85,-1.14,-0.75,0.00,2.09,1.14,3.34,4.42亿,3.22亿,208.52亿,29.05
601882,海天精工,21.61,-1.14,-0.25,-0.05,0.42,0.90,2.65,4707.74万,5.22亿,112.80亿,20.95
000544,中原环保,8.57,-1.15,-0.10,0.00,0.56,1.14,2.08,4714.50万,9.75亿,83.53亿,6.28
002271,东方雨虹,12.80,-1.16,-0.15,-0.08,1.47,0.84,3.17,3.68亿,19.32亿,247.32亿,18.31
600196,复星医药,25.60,-1.16,-0.30,-0.08,0.47,1.04,2.05,2.56亿,21.18亿,542.33亿,25.51
603801,志邦家居,12.77,-1.16,-0.15,0.00,0.94,0.68,2.55,5267.34万,4.34亿,55.47亿,15.71
601069,西部黄金,11.89,-1.16,-0.14,0.00,1.20,1.18,2.33,9831.66万,6.84亿,81.33亿,63.62
600704,物产中大,5.09,-1.17,-0.06,0.00,1.23,1.10,2.33,3.26亿,51.54亿,262.32亿,8.50
688192,迪哲医药-U,42.33,-1.17,-0.50,-0.49,1.73,1.01,3.60,9028.43万,1.23亿,52.10亿,亏损
688087,英科再生,27.80,-1.17,-0.33,0.00,0.40,0.83,1.64,2081.75万,1.86亿,51.78亿,20.06
002120,韵达股份,7.56,-1.18,-0.09,-0.13,0.80,1.00,2.09,1.71亿,28.15亿,212.82亿,11.68
002978,安宁股份,29.32,-1.18,-0.35,0.21,0.48,0.97,3.10,4310.63万,2.99亿,87.67亿,12.91
002821,凯莱英,77.08,-1.18,-0.92,-0.23,0.73,0.58,1.56,1.86亿,3.29亿,253.33亿,29.93
